0,1667.663553237915,0.1582,20.308602098
1,1578.8708322048187,0.2241,39.294024361000005
2,1654.3692979812622,0.2401,55.599487100000005
3,1626.270983695984,0.223,72.919907739
4,1695.5297675132751,0.2357,89.944834034
5,1639.5852680206299,0.2301,104.489978372
6,1662.6979038715363,0.2405,119.308955365
7,1570.6781876087189,0.2369,134.443887855
8,1655.5008435249329,0.2331,149.136911291
9,1662.149272441864,0.2204,164.291878573
10,1602.6482422351837,0.2205,180.362132537
11,1670.6459374427795,0.238,195.181947622
12,1644.1044082641602,0.2306,209.565410488
13,1535.4668295383453,0.226,223.861589065
14,1680.5855629444122,0.2386,239.751213704
15,1728.9728662967682,0.2276,254.757932434
16,1606.244877576828,0.238,269.152091255
17,1632.0151348114014,0.2223,283.042584991
18,1667.7524993419647,0.2256,297.495996842
19,1654.8536777496338,0.2402,311.258976226
20,1654.8536777496338,0.2302,325.258976226
21,1654.8536777496338,0.2314,338.258976226
22,1654.8536777496338,0.2355,352.258976226
23,1654.8536777496338,0.2267,365.258976226
24,1654.8536777496338,0.2398,390.258976226
99,307,237,47
